slug	title	name	image	jobTitle	affiliation	steeringGroupMember	expertiseTags	website	orcid
alan-evans		Alan Evans	/assets/images/people/alan_evans.jpg		McGill University	TRUE	Surgery,Telemedicine	https://mcin.ca	
pedro-valdes-sosa		Pedro Valdes-Sosa	/assets/images/people/pedro_valdes-sosa.jpg		CNEURO	TRUE	Randomised Controlled Trials,Research Methods		
Paolo Rossini		Paolo Rossini	/assets/images/people/rossini.jpg		IFCN	FALSE	Clinical Trials,Ethics		
katrin-amunts		Katrin Amunts	/assets/images/people/katrin_amunts.jpg		Julich	FALSE	Clinical Trials,Ethics		
paul-thompson		Paul Thompson	/assets/images/people/paul_thompson.jpg		USC	FALSE	Clinical Trials,Ethics		
dezhong-yao		Dezhong Yao	/assets/images/people/dezhong_yao.jpg		UESTC	FALSE	Clinical Trials,Ethics		
michael-milham		Michael Milham	/assets/images/people/milham.jpg		The Child Mind Institute	FALSE	Clinical Trials,Ethics		
faisal-mushtaq		Faisal Mushtaq	/assets/images/people/photo-faisal.jpg		University of Leeds	FALSE	RClinical Trials,Ethics	https://medicinehealth.leeds.ac.uk/psychology/staff/632/dr-faisal-mushtaq	
jorge-bosch-bayard		Jorge Bosch-Bayard	/assets/images/people/photoBosch.jpg		Autonomous University of Madrid, Spain	FALSE	Clinical Trials,Ethics		
maryann-martone		Maryann Martone	/assets/images/people/maryann_martone.jpg		UCSD	FALSE	Clinical Trials,Ethics		
jane-roskams		Jane Roskams	/assets/images/people/jane_roskams.jpg		UBC	FALSE	Clinical Trials,Ethics		
