slug	title	name	image	jobTitle	affiliation	steeringGroupMember	expertiseTags	website	orcid
alan-evans	Mr	Alan Evans	/assets/images/people/alan_evans.jpg		McGill University	TRUE	"Surgery,Telemedicine"		
faisal-mushtaq	Professor	Faisal Mushtaq	/assets/images/people/faisal-mushtaq.jpg	Professor of Cognitive Science	University of Leeds	TRUE	"Randomised Controlled Trials,Research Methods"	https://medicinehealth.leeds.ac.uk/psychology/staff/632/dr-faisal-mushtaq	0000-0001-7881-1127
khyldoon-bajwa	Dr	Khyldoon Bajwa	/assets/images/people/khyldoon-bajwa.jpg		Ottawa Hospital Research Institute	FALSE	"Clinical Trials,Ethics,Global Health,Patient and Public Involvement and Engagement,Policy,Software,Surgery,Wearable Technology"		
malek-racy	Mr	Malek Racy	/assets/images/people/malek-racy.jpg		Salford Royal NHS Foundation Trust	FALSE	"Haptics,Patient and Public Involvement and Engagement,Software,Surgery,Wearable Technology"		
mark-wilson	Professor	Mark Wilson	/assets/images/people/mark-wilson.jpg		University of Exeter	FALSE	"Neurotechnology,Surgery,Wearable Technology"	https://sens.exeter.ac.uk/staff/profile/index.php?web_id=Mark_Wilson 	
michael-loizou	Dr	Michael Loizou	/assets/images/people/michael-loizou.png		University of Plymouth	FALSE	"Global Health,Mental Health,Pain,Patient and Public Involvement and Engagement,Rehabilitation,Telemedicine,Wearable Technology"	https://www.plymouth.ac.uk/staff/michael-loizou	
narinder-kapur	Professor	Narinder Kapur			UCL	FALSE	"Rehabilitation,Wearable Technology"		
rachel-nagle	Mrs	Rachel Nagle	/assets/images/people/rachel-nagle.jpeg		Stryker	FALSE	"Ethics,Global Health,Neurotechnology,Patient and Public Involvement and Engagement,Rehabilitation,Surgery,Wearable Technology"		
rashid-kashani	Dr	Rashid Kashani			Occupational Medi-Serve Inc. 	FALSE	"Mental Health,Pain,Rehabilitation,Telemedicine,Wearable Technology"		
ryan-mathew	Mr	Ryan Mathew	/assets/images/people/ryan-mathew.png	Associate Professor (Clinical)	University of Leeds	TRUE	"Randomised Controlled Trials,Surgery"	https://medicinehealth.leeds.ac.uk/medicine/staff/2485/mr-ryan-k-mathew	0000-0002-2609-9876
sam-vine	Professor	Sam Vine	/assets/images/people/sam-vine.jpg		University of Exeter	FALSE	"Haptics,Neurotechnology,Surgery,Wearable Technology"	https://sshs.exeter.ac.uk/staff/profile/index.php?web_id=Samuel_Vine	
timothy-jung	Professor	Timothy Jung	/assets/images/people/timothy-jung.png		Manchester Metropolitan University	FALSE	"Policy,Rehabilitation,Telemedicine,Wearable Technology"	https://www.mmu.ac.uk/	
leisa-anderton	Mrs	Leisa Anderton	/assets/images/people/leisa-anderton.jpg		Sheffield Hallam University	FALSE	"Global Health,Software,Telemedicine,Wearable Technology"		
peter-culmer	Professor	Peter Culmer			University of Leeds	FALSE	"Global Health,Surgery,Sustainability"	https://eps.leeds.ac.uk/mechanical-engineering/staff/279/professor-peter-culmer	
rachel-coats	Dr	Rachel Coats	/assets/images/people/rachel-coats.jpg		University of Leeds	FALSE	"Policy,Rehabilitation"	https://medicinehealth.leeds.ac.uk/psychology/staff/231/dr-rachel-coats	
andrew-mitchell	Dr	Andrew Mitchell	/assets/images/people/andrew-mitchell.jpg		Jersey General Hospital	FALSE	"Clinical Trials,Medical Imaging,Wearable Technology"	www.jerseycardiologist.com	

